access_table,name,found,found_as,acc_easting,acc_northing,htp_easting,htp_northing,location_match,other_names
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332008,True,substring of site_name,2701900.0,6098300.0,2701800.0,6098300.0,False,"207,LANDCORP  TANGIMOANA,LC5 (332008)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332010,True,substring of site_name,2701800.0,6097700.0,2701900.0,6098200.0,False,"208,LANDCORP  TANGIMOANA,LC6 (332010)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332012,True,substring of site_name,2701800.0,6098300.0,2701900.0,6098700.0,False,"209,LANDCORP  TANGIMOANA,LC7 (332012)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332031,True,substring of site_name,2701900.0,6098200.0,2701800.0,6098100.0,False,"251,LANDCORP  TANGIMOANA,332031 (East)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),324000,True,site_name,2714700.0,6107800.0,2714700.0,6107800.0,True,"884,LANDS & SURVEY"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),324002,True,site_name,2717800.0,6100400.0,2717800.0,6100400.0,True,"885,COCKER R M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),325261,True,site_name,2723600.0,6100600.0,2723600.0,6100600.0,True,"886,KNOWLES B"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),323206,True,site_name,2711200.0,6100700.0,2711200.0,6100700.0,True,"887,HORNBLOW T K (WELL)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),323118,True,site_name,2711300.0,6101200.0,2711300.0,6101200.0,True,"888,HORNBLOW T K (BORE)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),323059,True,site_name,2711700.0,6100800.0,2711700.0,6100800.0,True,"889,LAW PHILLIP"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348016,True,site_name,2754600.0,6085000.0,2754600.0,6084800.0,False,"890,BURMEISTER"
