well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
332010,True,Copper Total,False,,,1991-06-14 08:45:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-14 08:45:00,23.0,True,True,23.0
332010,True,Copper Total,False,,,1991-05-31 08:45:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-31 08:45:00,22.0,True,True,22.0
332010,True,Chromium Total,False,,,1991-05-31 08:45:00,0.05,,,
332010,True,Static Water Level,False,,,1991-05-31 08:45:00,1.348,,,
332010,True,Copper Total,False,,,1991-05-17 09:22:00,0.02,,,
332010,True,Static Water Level,False,,,1991-05-17 09:22:00,1.3,,,
332010,True,Chromium Total,False,,,1991-05-17 09:22:00,0.05,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-17 09:22:00,31.0,True,True,31.0
332010,True,Chromium Total,False,,,1991-05-03 09:50:00,0.05,,,
332010,True,Static Water Level,False,,,1991-05-03 09:50:00,1.23,,,
332010,True,Copper Total,False,,,1991-05-03 09:50:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-03 09:50:00,30.0,True,True,30.0
332012,True,Copper Total,False,,,1995-02-01 10:30:00,0.02,,,
332012,True,Static Water Level,False,,,1995-02-01 10:30:00,1.24,,,
332012,True,Chromium Total,False,,,1995-02-01 10:30:00,0.05,,,
332012,True,Chromium Total,False,,,1994-12-15 11:10:00,0.05,,,
332012,True,Copper Total,False,,,1994-12-15 11:10:00,0.02,,,
332012,True,Static Water Level,False,,,1994-12-15 11:10:00,0.762,,,
332012,True,Copper Total,False,,,1994-05-27 13:55:00,0.02,,,
332012,True,Chromium Total,False,,,1994-05-27 13:55:00,0.05,,,
332012,True,Static Water Level,False,,,1994-05-27 13:55:00,1.482,,,
332012,True,Chromium Total,False,,,1993-10-01 14:00:00,0.05,,,
332012,True,Copper Total,False,,,1993-10-01 14:00:00,0.02,,,
332012,True,Static Water Level,False,,,1993-10-01 14:00:00,1.095,,,
332012,True,Copper Total,False,,,1992-06-26 09:50:00,0.02,,,
332012,True,Static Water Level,False,,,1992-06-26 09:50:00,1.02,,,
332012,True,Chromium Total,False,,,1992-06-26 09:50:00,0.05,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-06-26 09:50:00,14.0,True,True,14.0
332012,True,Copper Total,False,,,1992-03-20 08:45:00,0.02,,,
332012,True,Static Water Level,False,,,1992-03-20 08:45:00,1.109,,,
332012,True,Chromium Total,False,,,1992-03-20 08:45:00,0.05,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-03-20 08:45:00,15.0,True,True,15.0
332012,True,Chromium Total,False,,,1992-02-21 07:55:00,0.05,,,
332012,True,Copper Total,False,,,1992-02-21 07:55:00,0.02,,,
332012,True,Static Water Level,False,,,1992-02-21 07:55:00,1.154,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-02-21 07:55:00,17.0,True,True,17.0
332012,True,Copper Total,False,,,1992-01-24 07:40:00,0.02,,,
332012,True,Chromium Total,False,,,1992-01-24 07:40:00,0.05,,,
332012,True,Static Water Level,False,,,1992-01-24 07:40:00,1.392,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-01-24 07:40:00,16.0,True,True,16.0
332012,True,Copper Total,False,,,1992-12-15 08:55:00,0.02,,,
332012,True,Static Water Level,False,,,1992-12-15 08:55:00,1.151,,,
332012,True,Chromium Total,False,,,1992-12-15 08:55:00,0.05,,,
332012,True,Chromium Total,False,,,1992-09-25 09:25:00,0.05,,,
332012,True,Copper Total,False,,,1992-09-25 09:25:00,0.02,,,
332012,True,Static Water Level,False,,,1992-09-25 09:25:00,0.616,,,
332012,True,Chromium Total,False,,,1991-12-13 09:00:00,0.05,,,
332012,True,Static Water Level,False,,,1991-12-13 09:00:00,1.16,,,
332012,True,Copper Total,False,,,1991-12-13 09:00:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-12-13 09:00:00,16.0,True,True,16.0
332012,True,Chromium Total,False,,,1991-11-22 07:40:00,0.05,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-11-22 07:40:00,15.0,True,True,15.0
332012,True,Copper Total,False,,,1991-11-22 07:40:00,0.02,,,
332012,True,Static Water Level,False,,,1991-11-22 07:40:00,1.078,,,
332012,True,Chromium Total,False,,,1991-10-24 08:30:00,0.07,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-10-24 08:30:00,15.0,True,True,15.0
332012,True,Copper Total,False,,,1991-10-24 08:30:00,0.02,,,
332012,True,Static Water Level,False,,,1991-10-24 08:30:00,0.981,,,
332012,True,Copper Total,False,,,1991-09-20 09:18:00,0.02,,,
332012,True,Chromium Total,False,,,1991-09-20 09:18:00,0.05,,,
332012,True,Static Water Level,False,,,1991-09-20 09:18:00,0.75,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-09-20 09:18:00,15.0,True,True,15.0
332012,True,Copper Total,False,,,1991-08-23 08:35:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-08-23 08:35:00,18.0,True,True,18.0
332012,True,Chromium Total,False,,,1991-08-23 08:35:00,0.05,,,
332012,True,Static Water Level,False,,,1991-08-23 08:35:00,0.47,,,
332012,True,Chromium Total,False,,,1991-07-12 08:45:00,0.13,,,
332012,True,Copper Total,False,,,1991-07-12 08:45:00,0.02,,,
332012,True,Static Water Level,False,,,1991-07-12 08:45:00,1.203,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-07-12 08:45:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-06-28 08:37:00,0.38,,,
332012,True,Static Water Level,False,,,1991-06-28 08:37:00,1.18,,,
332012,True,Copper Total,False,,,1991-06-28 08:37:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-28 08:37:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-06-14 08:40:00,0.21,,,
332012,True,Static Water Level,False,,,1991-06-14 08:40:00,1.242,,,
332012,True,Copper Total,False,,,1991-06-14 08:40:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-14 08:40:00,18.0,True,True,18.0
332012,True,Copper Total,False,,,1991-05-31 08:40:00,0.02,,,
332012,True,Static Water Level,False,,,1991-05-31 08:40:00,1.24,,,
332012,True,Chromium Total,False,,,1991-05-31 08:40:00,0.65,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-31 08:40:00,17.0,True,True,17.0
332012,True,Copper Total,False,,,1991-05-17 09:18:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-17 09:18:00,19.0,True,True,19.0
332012,True,Chromium Total,False,,,1991-05-17 09:18:00,0.57,,,
332012,True,Static Water Level,False,,,1991-05-17 09:18:00,1.19,,,
332012,True,Chromium Total,False,,,1991-05-03 09:45:00,0.05,,,
332012,True,Static Water Level,False,,,1991-05-03 09:45:00,1.185,,,
332012,True,Copper Total,False,,,1991-05-03 09:45:00,0.02,,,
332012,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-03 09:45:00,20.0,True,True,20.0
332031,True,Arsenic Dissolved,True,Dissolved Arsenic (HRC),Item2 [Dissolved Arsenic (HRC)],2001-07-11 14:30:00,0.004,True,True,0.004
332031,True,Chromium Total,False,,,2001-07-11 14:30:00,0.0121,,,
332031,True,Static Water Level,False,,,2001-07-11 14:30:00,2.03,,,
332031,True,Copper Dissolved,False,,,2001-07-11 14:30:00,0.0025,,,
332031,True,Chromium Total,False,,,1999-08-11 00:00:00,0.03,,,
332031,True,Static Water Level,False,,,1999-08-11 00:00:00,1.63,,,
332031,True,Copper Total,False,,,1999-08-11 00:00:00,0.01,,,
332031,True,Static Water Level,False,,,1998-12-21 00:00:00,1.6,,,
332031,True,Chromium Total,False,,,1998-12-21 00:00:00,0.1,,,
332031,True,Copper Total,False,,,1998-12-21 00:00:00,0.02,,,
332031,True,Chromium Total,False,,,1998-11-30 00:00:00,0.05,,,
332031,True,Copper Total,False,,,1998-11-30 00:00:00,0.01,,,
332031,True,Chromium Total,False,,,1998-10-28 00:00:00,0.01,,,
332031,True,Static Water Level,False,,,1998-10-28 00:00:00,1.155,,,
332031,True,Copper Total,False,,,1998-10-28 00:00:00,0.01,,,
332031,True,Chromium Total,False,,,1998-08-28 00:00:00,0.05,,,
332031,True,Copper Total,False,,,1998-08-28 00:00:00,0.03,,,
332031,True,Static Water Level,False,,,1998-08-28 00:00:00,1.47,,,
332031,True,Chromium Total,False,,,1998-06-12 00:00:00,0.03,,,
332031,True,Copper Total,False,,,1998-06-12 00:00:00,0.02,,,
