well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
209005,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/04/1997 0:00,14.9,FALSE,,
209005,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16.8,FALSE,,
209005,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/06/2005 0:00,17.2,FALSE,,
209005,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,17.5,FALSE,,
209005,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,14.66,FALSE,,
209006,FALSE,Temp,,,,25/01/1977 0:00,13.5,,,
209007,FALSE,Temp,,,,30/03/1983 0:00,13.3,,,
209008,FALSE,Temp,,,,10/05/1977 0:00,12.9,,,
209009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],31/08/1978 0:00,18.7,FALSE,,
209009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],9/01/1980 0:00,18.6,FALSE,,
209013,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],14/07/1977 0:00,13.4,FALSE,,
209014,FALSE,Temp,,,,10/04/1979 0:00,15.7,,,
209014,FALSE,Temp,,,,7/05/1979 0:00,14.3,,,
209014,FALSE,Temp,,,,24/11/1980 0:00,14.7,,,
209014,FALSE,Temp,,,,23/11/1981 0:00,14.4,,,
209015,FALSE,Temp,,,,2/11/1978 0:00,13.1,,,
209016,FALSE,Temp,,,,4/10/1978 0:00,14.4,,,
209016,FALSE,Temp,,,,7/05/1979 0:00,14.4,,,
209017,FALSE,Temp,,,,2/11/1978 0:00,13.1,,,
209018,FALSE,Temp,,,,10/04/1979 0:00,14.9,,,
209018,FALSE,Temp,,,,7/05/1979 0:00,14.3,,,
209019,FALSE,Temp,,,,2/11/1978 0:00,12.7,,,
209021,FALSE,Temp,,,,28/11/1984 0:00,13.9,,,
209023,FALSE,Temp,,,,10/04/1979 0:00,14.6,,,
209025,FALSE,Temp,,,,31/08/1978 0:00,12.8,,,
209025,FALSE,Temp,,,,10/01/1980 0:00,13.6,,,
209027,FALSE,Temp,,,,28/11/1984 0:00,14.9,,,
209032,FALSE,Temp,,,,10/04/1979 0:00,13.2,,,
209034,FALSE,Temp,,,,10/04/1979 0:00,13.2,,,
209040,FALSE,Temp,,,,9/05/1979 0:00,13.6,,,
209044,FALSE,Temp,,,,30/03/1983 0:00,15.5,,,
301002,FALSE,Temp,,,,10/12/1979 0:00,15.2,,,
301002,FALSE,Temp,,,,11/02/1981 0:00,15.2,,,
301003,FALSE,Temp,,,,16/02/1989 0:00,14.3,,,
301003,FALSE,Temp,,,,23/02/1989 0:00,13.4,,,
301003,FALSE,Temp,,,,30/03/1989 0:00,12.1,,,
301006,FALSE,Temp,,,,10/12/1979 0:00,15.5,,,
301006,FALSE,Temp,,,,11/02/1981 0:00,15.4,,,
301007,FALSE,Temp,,,,10/12/1979 0:00,14.1,,,
301007,FALSE,Temp,,,,11/02/1981 0:00,13.6,,,
301011,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16.5,FALSE,,
301011,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/06/2005 0:00,17.2,FALSE,,
301011,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,17,FALSE,,
301011,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,13.54,FALSE,,
301026,FALSE,Temp,,,,10/12/1979 0:00,15.1,,,
301026,FALSE,Temp,,,,11/02/1981 0:00,14.3,,,
301060,FALSE,Temp,,,,23/10/1987 0:00,14.6,,,
301062,FALSE,Temp,,,,11/02/1981 0:00,15.1,,,
303001,FALSE,Temp,,,,19/10/1977 0:00,16.5,,,
303002,FALSE,Temp,,,,13/04/1976 0:00,13.5,,,
303003,FALSE,Temp,,,,11/05/1983 0:00,12.4,,,
303004,FALSE,Temp,,,,14/04/1976 0:00,13.1,,,
303004,FALSE,Temp,,,,5/10/1985 0:00,13.1,,,
303007,FALSE,Temp,,,,8/12/1987 0:00,14,,,
303008,FALSE,Temp,,,,4/12/1979 0:00,13.3,,,
303009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],16/05/1979 0:00,12.7,FALSE,,
304001,FALSE,Temp,,,,20/04/1977 0:00,13.1,,,
304005,FALSE,Temp,,,,29/10/1985 0:00,16,,,
304009,FALSE,Temp,,,,9/02/1979 0:00,14.5,,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/05/1995 0:00,15,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],2/10/1995 0:00,15,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/04/1997 0:00,14.9,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/06/2005 0:00,18.35,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,14.7,FALSE,,
312001,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,14.79,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],24/08/1992 0:00,12,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],9/03/1993 0:00,14,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],24/05/1993 0:00,13.5,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],23/08/1993 0:00,13,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],8/11/1993 0:00,14.5,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],28/02/1994 0:00,14.5,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],23/05/1994 0:00,14,FALSE,,
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],8/08/1994 0:00,14,FALSE,,
312007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/1995 0:00,14,TRUE,TRUE,14
312007,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],2/10/1995 0:00,14.5,FALSE,,
