well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
209005,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1997-04-01 00:00:00,14.9,False,,
209005,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1999-03-22 00:00:00,16.8,False,,
209005,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2005-06-15 00:00:00,17.2,False,,
209005,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2006-12-06 00:00:00,17.5,False,,
209005,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2007-07-31 00:00:00,14.66,False,,
209006,False,Temp,,,,1977-01-25 00:00:00,13.5,,,
209007,False,Temp,,,,1983-03-30 00:00:00,13.3,,,
209008,False,Temp,,,,1977-05-10 00:00:00,12.9,,,
209009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1978-08-31 00:00:00,18.7,False,,
209009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1980-01-09 00:00:00,18.6,False,,
209013,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1977-07-14 00:00:00,13.4,False,,
209014,False,Temp,,,,1979-04-10 00:00:00,15.7,,,
209014,False,Temp,,,,1979-05-07 00:00:00,14.3,,,
209014,False,Temp,,,,1980-11-24 00:00:00,14.7,,,
209014,False,Temp,,,,1981-11-23 00:00:00,14.4,,,
209015,False,Temp,,,,1978-11-02 00:00:00,13.1,,,
209016,False,Temp,,,,1978-10-04 00:00:00,14.4,,,
209016,False,Temp,,,,1979-05-07 00:00:00,14.4,,,
209017,False,Temp,,,,1978-11-02 00:00:00,13.1,,,
209018,False,Temp,,,,1979-04-10 00:00:00,14.9,,,
209018,False,Temp,,,,1979-05-07 00:00:00,14.3,,,
209019,False,Temp,,,,1978-11-02 00:00:00,12.7,,,
209021,False,Temp,,,,1984-11-28 00:00:00,13.9,,,
209023,False,Temp,,,,1979-04-10 00:00:00,14.6,,,
209025,False,Temp,,,,1978-08-31 00:00:00,12.8,,,
209025,False,Temp,,,,1980-01-10 00:00:00,13.6,,,
209027,False,Temp,,,,1984-11-28 00:00:00,14.9,,,
209032,False,Temp,,,,1979-04-10 00:00:00,13.2,,,
209034,False,Temp,,,,1979-04-10 00:00:00,13.2,,,
209040,False,Temp,,,,1979-05-09 00:00:00,13.6,,,
209044,False,Temp,,,,1983-03-30 00:00:00,15.5,,,
301002,False,Temp,,,,1979-12-10 00:00:00,15.2,,,
301002,False,Temp,,,,1981-02-11 00:00:00,15.2,,,
301003,False,Temp,,,,1989-02-16 00:00:00,14.3,,,
301003,False,Temp,,,,1989-02-23 00:00:00,13.4,,,
301003,False,Temp,,,,1989-03-30 00:00:00,12.1,,,
301006,False,Temp,,,,1979-12-10 00:00:00,15.5,,,
301006,False,Temp,,,,1981-02-11 00:00:00,15.4,,,
301007,False,Temp,,,,1979-12-10 00:00:00,14.1,,,
301007,False,Temp,,,,1981-02-11 00:00:00,13.6,,,
301011,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1999-03-22 00:00:00,16.5,False,,
301011,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2005-06-15 00:00:00,17.2,False,,
301011,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2006-12-06 00:00:00,17.0,False,,
301011,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],2007-07-31 00:00:00,13.54,False,,
301026,False,Temp,,,,1979-12-10 00:00:00,15.1,,,
301026,False,Temp,,,,1981-02-11 00:00:00,14.3,,,
301060,False,Temp,,,,1987-10-23 00:00:00,14.6,,,
301062,False,Temp,,,,1981-02-11 00:00:00,15.1,,,
303001,False,Temp,,,,1977-10-19 00:00:00,16.5,,,
303002,False,Temp,,,,1976-04-13 00:00:00,13.5,,,
303003,False,Temp,,,,1983-05-11 00:00:00,12.4,,,
303004,False,Temp,,,,1976-04-14 00:00:00,13.1,,,
303004,False,Temp,,,,1985-10-05 00:00:00,13.1,,,
303007,False,Temp,,,,1987-12-08 00:00:00,14.0,,,
303008,False,Temp,,,,1979-12-04 00:00:00,13.3,,,
303009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1979-05-16 00:00:00,12.7,False,,
304001,False,Temp,,,,1977-04-20 00:00:00,13.1,,,
304005,False,Temp,,,,1985-10-29 00:00:00,16.0,,,
304009,False,Temp,,,,1979-02-09 00:00:00,14.5,,,
312001,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1995-05-01 00:00:00,15.0,False,,
312001,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1995-10-02 00:00:00,15.0,False,,
312001,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1997-04-01 00:00:00,14.9,False,,
312001,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1999-03-22 00:00:00,16.0,False,,
